comp_name,tittle_job,tittle_url
Công Ty Cổ Phần Dịch Vụ Thương Mại Tổng Hợp Vincommerce,[KCN Đình Vũ - Hải Phòng] - Trưởng Nhóm Điều Phối Kho Vận(MỚI),https://www.vietnamworks.com/kcn-dinh-vu-hai-phong-truong-nhom-dieu-phoi-kho-van-1644849-jv/?source=searchResults&searchType=2&placement=1644900&sortBy=date
Pinetree Securities Corporation - A Member of Hanwha Investment & Securities Co. Ltd. Korea,Data Scientist(MỚI),https://www.vietnamworks.com/data-scientist-65-1-1646193-jv/?source=searchResults&searchType=2&placement=1646244&sortBy=date
"Công Ty TNHH Thiết Bị Minh Tâm (Mitalab Co., Ltd)",Kỹ Thuật Viên Bảo Dưỡng Thiết Bị Y Tế(MỚI),https://www.vietnamworks.com/ky-thuat-vien-bao-duong-thiet-bi-y-te-1646222-jv/?source=searchResults&searchType=2&placement=1646273&sortBy=date
Công Ty TNHH 4-Life Việt Nam,Nhân Viên Kinh Doanh(Vật Tư Thiết Bị Y Tế )(MỚI),https://www.vietnamworks.com/nhan-vien-kinh-doanh-vat-tu-thiet-bi-y-te-6-1641281-jv/?source=searchResults&searchType=2&placement=1641332&sortBy=date
VPBank - Https://tuyendung.vpbank.com.vn/,Head of Performance Management (Operation Division)(MỚI),https://www.vietnamworks.com/head-of-performance-management-operation-division-1-1643255-jv/?source=searchResults&searchType=2&placement=1643306&sortBy=date
Bosch Global Software Technologies Company Limited,Java Developer (from 2 Years)(MỚI),https://www.vietnamworks.com/java-developer-from-2-years-1630438-jv/?source=searchResults&searchType=2&placement=1630489&sortBy=date
Bin CORPORATION GROUP Việt Nam,Quản Lý Bán Hàng Ngành In Ấn(MỚI),https://www.vietnamworks.com/quan-ly-ban-hang-nganh-in-an-1642709-jv/?source=searchResults&searchType=2&placement=1642760&sortBy=date
Ngân Hàng TMCP Đại Chúng Việt Nam,"Chuyên Gia Kiểm Định Mô Hình, Phòng Quản Trị Rủi Ro Tích Hợp, Khối Quản Trị Rủi Ro(MỚI)",https://www.vietnamworks.com/chuyen-gia-kiem-dinh-mo-hinh-phong-quan-tri-rui-ro-tich-hop-khoi-quan-tri-rui-ro-1-1-1644865-jv/?source=searchResults&searchType=2&placement=1644916&sortBy=date
Công Ty Cho Thuê Tài Chính TNHH BIDV - Sumi Trust,SUMITRUST - CSL Chuyên Viên Phát Triển Khách Hàng Bán Buôn/ Development Wholesale Officer(MỚI),https://www.vietnamworks.com/sumitrust-csl-chuyen-vien-phat-trien-khach-hang-ban-buon-development-wholesale-officer-1-1625059-jv/?source=searchResults&searchType=2&placement=1625110&sortBy=date
Home Credit Vietnam - Https://career.homecredit.vn/,Telesales Strategy and Process Manager(MỚI),https://www.vietnamworks.com/telesales-strategy-and-process-manager-1627542-jv/?source=searchResults&searchType=2&placement=1627593&sortBy=date
Trung Tâm Chứng Thực Điện Tử Quốc Gia,Chuyên Viên Phát Triển Phần Mềm(MỚI),https://www.vietnamworks.com/chuyen-vien-phat-trien-phan-mem-42-1629782-jv/?source=searchResults&searchType=2&placement=1629833&sortBy=date
Công Ty TNHH Việt Nam Wacoal,Sales Manager(MỚI),https://www.vietnamworks.com/sales-manager-1653-1639145-jv/?source=searchResults&searchType=2&placement=1639196&sortBy=date
Công Ty TNHH Luxshare - ICT (Nghệ An),Phiên Dịch Tiếng Trung (Nhận Đào Tạo Với Ứng Viên Chưa Có Kinh Nghiệm)(MỚI),https://www.vietnamworks.com/phien-dich-tieng-trung-nhan-dao-tao-voi-ung-vien-chua-co-kinh-nghiem-1639203-jv/?source=searchResults&searchType=2&placement=1639254&sortBy=date
Công Ty TNHH Luxshare - ICT (Nghệ An),Nhân Viên Chất Lượng (Tiếng Trung Nghe – Nói)(MỚI),https://www.vietnamworks.com/nhan-vien-chat-luong-tieng-trung-nghe-noi-1639211-jv/?source=searchResults&searchType=2&placement=1639262&sortBy=date
Công Ty TNHH Hyosung Financial System VINA,Nhân Viên Sản Xuất - Production Officer(MỚI),https://www.vietnamworks.com/nhan-vien-san-xuat-production-officer-1639272-jv/?source=searchResults&searchType=2&placement=1639323&sortBy=date
Công Ty TNHH A. O. Smith Việt Nam,Supervisor/Giám Sát Kinh Doanh(MỚI),https://www.vietnamworks.com/supervisor-giam-sat-kinh-doanh-1-1639276-jv/?source=searchResults&searchType=2&placement=1639327&sortBy=date
Công Ty TNHH Mathpresso Việt Nam,Account Executive (Quản Lý Đối Tác) (Salary $500 - $850)(MỚI),https://www.vietnamworks.com/account-executive-quan-ly-doi-tac-salary-500-850-1639314-jv/?source=searchResults&searchType=2&placement=1639365&sortBy=date
Viện Nghiên Cứu Dữ Liệu Lớn Vinbigdata – Công Nghệ Việt Vì Tương Lai Việt,Account Manager (BFSI or Healthcare Customers)(MỚI),https://www.vietnamworks.com/account-manager-bfsi-or-healthcare-customers-1641248-jv/?source=searchResults&searchType=2&placement=1641299&sortBy=date
Golden Gate Trade & Service JSC,Giám Sát Sản Xuất - Lắp Đặt Nội Thất(MỚI),https://www.vietnamworks.com/giam-sat-san-xuat-lap-dat-noi-that-1-1642841-jv/?source=searchResults&searchType=2&placement=1642892&sortBy=date
Hustle Training,Sales Manager(MỚI),https://www.vietnamworks.com/sales-manager-1657-1639709-jv/?source=searchResults&searchType=2&placement=1639760&sortBy=date
Ngân Hàng TMCP Đại Chúng Việt Nam,"Trưởng Bộ Phận Kiểm Định Mô Hình, Phòng Quản Trị Rủi Ro Tích Hợp, Khối Quản Trị Rủi Ro(MỚI)",https://www.vietnamworks.com/truong-bo-phan-kiem-dinh-mo-hinh-phong-quan-tri-rui-ro-tich-hop-khoi-quan-tri-rui-ro-1-1-1644862-jv/?source=searchResults&searchType=2&placement=1644913&sortBy=date
Bosch Global Software Technologies Company Limited,Quality Assurance Specialist(MỚI),https://www.vietnamworks.com/quality-assurance-specialist-16-1-1642396-jv/?source=searchResults&searchType=2&placement=1642447&sortBy=date
"SEI Electronic Components (Vietnam), Ltd.",Urgent! Kỹ Sư Phòng Sản Xuất (Kinh Nghiệm Quản Lý Sản Xuất - Upto $700)(MỚI),https://www.vietnamworks.com/urgent-ky-su-phong-san-xuat-kinh-nghiem-quan-ly-san-xuat-upto-700-1-1633634-jv/?source=searchResults&searchType=2&placement=1633685&sortBy=date
Công Ty TNHH Ghnn Express,Phó Hành Chính Văn Phòng(MỚI),https://www.vietnamworks.com/pho-hanh-chinh-van-phong-1645094-jv/?source=searchResults&searchType=2&placement=1645145&sortBy=date
Công Ty Cổ Phần Đào Tạo Công Nghệ Trẻ Teky,Trade Marketing Manager(MỚI),https://www.vietnamworks.com/trade-marketing-manager-195-1-1640349-jv/?source=searchResults&searchType=2&placement=1640400&sortBy=date
Công Ty TNHH T.M.G (John Henry & Freelancer),Operation and Marketing Director(MỚI),https://www.vietnamworks.com/operation-and-marketing-director-1639279-jv/?source=searchResults&searchType=2&placement=1639330&sortBy=date
Công Ty TNHH A. O. Smith Việt Nam,Customer Service Executive - Chuyên Viên Dịch Vụ Khách Hàng(MỚI),https://www.vietnamworks.com/customer-service-executive-chuyen-vien-dich-vu-khach-hang-2-1-1-1-1639274-jv/?source=searchResults&searchType=2&placement=1639325&sortBy=date
Công Ty TNHH Bảo Hiểm Nhân Thọ Prudential Việt Nam,Chuyên Viên Hoạch Định Tài Chính Pruplanner – Thu Nhập Đến 48 Triệu (Hồ Chí Minh – Hà Nội – Đà Nẵng)(MỚI),https://www.vietnamworks.com/chuyen-vien-hoach-dinh-tai-chinh-pruplanner-thu-nhap-den-48-trieu-ho-chi-minh-ha-noi-da-nang-1642147-jv/?source=searchResults&searchType=2&placement=1642198&sortBy=date
Công Ty TNHH Tianhai Lace VN,Translator-Program Assistant (Chinese) [Salary 12-18 Million VND](MỚI),https://www.vietnamworks.com/translator-program-assistant-chinese-salary-12-18-million-vnd-1639773-jv/?source=searchResults&searchType=2&placement=1639824&sortBy=date
Công Ty Cổ Phần Liên Doanh Ô Tô Hyundai Thành Công Việt Nam,Chuyên Viên Quản Lý Bảo Hành(MỚI),https://www.vietnamworks.com/chuyen-vien-quan-ly-bao-hanh-1631490-jv/?source=searchResults&searchType=2&placement=1631541&sortBy=date
Công Ty TNHH MTV Vinschool,Giáo Viên Tiếng Anh (Cấp Trung Học)(MỚI),https://www.vietnamworks.com/giao-vien-tieng-anh-cap-trung-hoc-1-1644390-jv/?source=searchResults&searchType=2&placement=1644441&sortBy=date
LX Pantos Vietnam,C&B Senior HR Staff(MỚI),https://www.vietnamworks.com/c-b-senior-hr-staff-1-1646226-jv/?source=searchResults&searchType=2&placement=1646277&sortBy=date
